Site,Subsite,Device,X,Y
VII,FeCapBD,C7C8,-960,320
VII,FeCapBD,C9C10,-1280,320
VII,FeCapBD,D1D2,0,480
VII,FeCapBD,D3D4,-320,480
VII,FeCapBD,D5D6,-640,480
VII,FeCapBD,D7D8,-960,480
VII,FeCapBD,D9D10,-1280,480
VII,FeCapBD,E1E2,0,640
VII,FeCapBD,E3E4,-320,640
VII,FeCapBD,E5E6,-640,640
VII,FeCapBD,E7E8,-960,640
VII,FeCapBD,E9E10,-1280,640
VII,FeCapBD,F1F2,0,800
VII,FeCapBD,F3F4,-320,800
VII,FeCapBD,F5F6,-640,800
VII,FeCapBD,F7F8,-960,800
VII,FeCapBD,F9F10,-1280,800
VII,FeCapBD,G1G2,0,960
VII,FeCapBD,G3G4,-320,960
VII,FeCapBD,G5G6,-640,960
VII,FeCapBD,G7G8,-960,960
VII,FeCapBD,G9G10,-1280,960
VII,FeCapBD,H1H2,0,1120
VII,FeCapBD,H3H4,-320,1120
VII,FeCapBD,H5H6,-640,1120
VII,FeCapBD,H7H8,-960,1120
VII,FeCapBD,H9H10,-1280,1120
VII,FeCapBD,I1I2,0,1280
VII,FeCapBD,I3I4,-320,1280
VII,FeCapBD,I5I6,-640,1280
VII,FeCapBD,I7I8,-960,1280
VII,FeCapBD,I9I10,-1280,1280

VII,FeCap,A1,0,0
VII,FeCap,A2,-160,0
VII,FeCap,A3,-320,0
VII,FeCap,A4,-480,0
VII,FeCap,A5,-640,0
VII,FeCap,A6,-800,0
VII,FeCap,A7,-960,0
VII,FeCap,A8,-1120,0
VII,FeCap,A9,-1280,0
VII,FeCap,A10,-1440,0
VII,FeCap,A11,-1600,0
VII,FeCap,A12,-1760,0
VII,FeCap,A13,-1920,0
VII,FeCap,B1,0,160
VII,FeCap,B2,-160,160
VII,FeCap,B3,-320,160
VII,FeCap,B4,-480,160
VII,FeCap,B5,-640,160
VII,FeCap,B6,-800,160
VII,FeCap,B7,-960,160
VII,FeCap,B8,-1120,160
VII,FeCap,B9,-1280,160
VII,FeCap,B10,-1440,160
VII,FeCap,B11,-1600,160
VII,FeCap,B12,-1760,160
VII,FeCap,B13,-1920,160
VII,FeCap,C1,0,320
VII,FeCap,C2,-160,320
VII,FeCap,C3,-320,320
VII,FeCap,C4,-480,320
VII,FeCap,C5,-640,320
VII,FeCap,C6,-800,320
VII,FeCap,C7,-960,320
VII,FeCap,C8,-1120,320
VII,FeCap,C9,-1280,320
VII,FeCap,C10,-1440,320
VII,FeCap,C11,-1600,320
VII,FeCap,C12,-1760,320
VII,FeCap,C13,-1920,320
VII,FeCap,D1,0,480
VII,FeCap,D2,-160,480
VII,FeCap,D3,-320,480
VII,FeCap,D4,-480,480
VII,FeCap,D5,-640,480
VII,FeCap,D6,-800,480
VII,FeCap,D7,-960,480
VII,FeCap,D8,-1120,480
VII,FeCap,D9,-1280,480
VII,FeCap,D10,-1440,480
VII,FeCap,D11,-1600,480
VII,FeCap,D12,-1760,480
VII,FeCap,D13,-1920,480
VII,FeCap,E1,0,640
VII,FeCap,E2,-160,640
VII,FeCap,E3,-320,640
VII,FeCap,E4,-480,640
VII,FeCap,E5,-640,640
VII,FeCap,E6,-800,640
VII,FeCap,E7,-960,640
VII,FeCap,E8,-1120,640
VII,FeCap,E9,-1280,640
VII,FeCap,E10,-1440,640
VII,FeCap,E11,-1600,640
VII,FeCap,E12,-1760,640
VII,FeCap,E13,-1920,640
VII,FeCap,F1,0,800
VII,FeCap,F2,-160,800
VII,FeCap,F3,-320,800
VII,FeCap,F4,-480,800
VII,FeCap,F5,-640,800
